Issue Type,Issue Key,Summary,Epic Link,Description,Acceptance Criteria,Priority
Story,SOD-US-1026,Co-op ping and prompts story 7,SOD-EP01,"As a player/team, I want co-op ping and prompts to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1027,Co-op ping and prompts story 8,SOD-EP01,"As a player/team, I want co-op ping and prompts to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1028,Co-op ping and prompts story 9,SOD-EP01,"As a player/team, I want co-op ping and prompts to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1029,Co-op ping and prompts story 10,SOD-EP01,"As a player/team, I want co-op ping and prompts to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1030,Checkpoint and revive flow story 1,SOD-EP01,"As a player/team, I want checkpoint and revive flow to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1031,Checkpoint and revive flow story 2,SOD-EP01,"As a player/team, I want checkpoint and revive flow to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1032,Checkpoint and revive flow story 3,SOD-EP01,"As a player/team, I want checkpoint and revive flow to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1033,Checkpoint and revive flow story 4,SOD-EP01,"As a player/team, I want checkpoint and revive flow to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1034,Checkpoint and revive flow story 5,SOD-EP01,"As a player/team, I want checkpoint and revive flow to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1035,Checkpoint and revive flow story 6,SOD-EP01,"As a player/team, I want checkpoint and revive flow to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1036,Checkpoint and revive flow story 7,SOD-EP01,"As a player/team, I want checkpoint and revive flow to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1037,Checkpoint and revive flow story 8,SOD-EP01,"As a player/team, I want checkpoint and revive flow to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1038,Checkpoint and revive flow story 9,SOD-EP01,"As a player/team, I want checkpoint and revive flow to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1039,Checkpoint and revive flow story 10,SOD-EP01,"As a player/team, I want checkpoint and revive flow to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1040,Light abilities reliability story 1,SOD-EP02,"As a player/team, I want light abilities reliability to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1041,Light abilities reliability story 2,SOD-EP02,"As a player/team, I want light abilities reliability to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1042,Light abilities reliability story 3,SOD-EP02,"As a player/team, I want light abilities reliability to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1043,Light abilities reliability story 4,SOD-EP02,"As a player/team, I want light abilities reliability to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1044,Light abilities reliability story 5,SOD-EP02,"As a player/team, I want light abilities reliability to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1045,Light abilities reliability story 6,SOD-EP02,"As a player/team, I want light abilities reliability to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1046,Light abilities reliability story 7,SOD-EP02,"As a player/team, I want light abilities reliability to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1047,Light abilities reliability story 8,SOD-EP02,"As a player/team, I want light abilities reliability to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1048,Light abilities reliability story 9,SOD-EP02,"As a player/team, I want light abilities reliability to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1049,Light abilities reliability story 10,SOD-EP02,"As a player/team, I want light abilities reliability to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1050,Shadow abilities reliability story 1,SOD-EP02,"As a player/team, I want shadow abilities reliability to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1051,Shadow abilities reliability story 2,SOD-EP02,"As a player/team, I want shadow abilities reliability to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1052,Shadow abilities reliability story 3,SOD-EP02,"As a player/team, I want shadow abilities reliability to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1053,Shadow abilities reliability story 4,SOD-EP02,"As a player/team, I want shadow abilities reliability to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1054,Shadow abilities reliability story 5,SOD-EP02,"As a player/team, I want shadow abilities reliability to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1055,Shadow abilities reliability story 6,SOD-EP02,"As a player/team, I want shadow abilities reliability to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1056,Shadow abilities reliability story 7,SOD-EP02,"As a player/team, I want shadow abilities reliability to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1057,Shadow abilities reliability story 8,SOD-EP02,"As a player/team, I want shadow abilities reliability to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1058,Shadow abilities reliability story 9,SOD-EP02,"As a player/team, I want shadow abilities reliability to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1059,Shadow abilities reliability story 10,SOD-EP02,"As a player/team, I want shadow abilities reliability to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1060,Ability combo validator story 1,SOD-EP02,"As a player/team, I want ability combo validator to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1061,Ability combo validator story 2,SOD-EP02,"As a player/team, I want ability combo validator to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1062,Ability combo validator story 3,SOD-EP02,"As a player/team, I want ability combo validator to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1063,Ability combo validator story 4,SOD-EP02,"As a player/team, I want ability combo validator to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1064,Ability combo validator story 5,SOD-EP02,"As a player/team, I want ability combo validator to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1065,Ability combo validator story 6,SOD-EP02,"As a player/team, I want ability combo validator to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1066,Ability combo validator story 7,SOD-EP02,"As a player/team, I want ability combo validator to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1067,Ability combo validator story 8,SOD-EP02,"As a player/team, I want ability combo validator to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1068,Ability combo validator story 9,SOD-EP02,"As a player/team, I want ability combo validator to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1069,Ability combo validator story 10,SOD-EP02,"As a player/team, I want ability combo validator to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1070,Accessibility timing assist story 1,SOD-EP02,"As a player/team, I want accessibility timing assist to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1071,Accessibility timing assist story 2,SOD-EP02,"As a player/team, I want accessibility timing assist to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1072,Accessibility timing assist story 3,SOD-EP02,"As a player/team, I want accessibility timing assist to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1073,Accessibility timing assist story 4,SOD-EP02,"As a player/team, I want accessibility timing assist to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1074,Accessibility timing assist story 5,SOD-EP02,"As a player/team, I want accessibility timing assist to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1075,Accessibility timing assist story 6,SOD-EP02,"As a player/team, I want accessibility timing assist to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1076,Accessibility timing assist story 7,SOD-EP02,"As a player/team, I want accessibility timing assist to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1077,Accessibility timing assist story 8,SOD-EP02,"As a player/team, I want accessibility timing assist to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1078,Accessibility timing assist story 9,SOD-EP02,"As a player/team, I want accessibility timing assist to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1079,Accessibility timing assist story 10,SOD-EP02,"As a player/team, I want accessibility timing assist to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1080,Dual-state puzzle actor story 1,SOD-EP03,"As a player/team, I want dual-state puzzle actor to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1081,Dual-state puzzle actor story 2,SOD-EP03,"As a player/team, I want dual-state puzzle actor to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1082,Dual-state puzzle actor story 3,SOD-EP03,"As a player/team, I want dual-state puzzle actor to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1083,Dual-state puzzle actor story 4,SOD-EP03,"As a player/team, I want dual-state puzzle actor to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1084,Dual-state puzzle actor story 5,SOD-EP03,"As a player/team, I want dual-state puzzle actor to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1085,Dual-state puzzle actor story 6,SOD-EP03,"As a player/team, I want dual-state puzzle actor to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1086,Dual-state puzzle actor story 7,SOD-EP03,"As a player/team, I want dual-state puzzle actor to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1087,Dual-state puzzle actor story 8,SOD-EP03,"As a player/team, I want dual-state puzzle actor to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1088,Dual-state puzzle actor story 9,SOD-EP03,"As a player/team, I want dual-state puzzle actor to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1089,Dual-state puzzle actor story 10,SOD-EP03,"As a player/team, I want dual-state puzzle actor to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1090,Puzzle fail-loop analytics story 1,SOD-EP03,"As a player/team, I want puzzle fail-loop analytics to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1091,Puzzle fail-loop analytics story 2,SOD-EP03,"As a player/team, I want puzzle fail-loop analytics to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1092,Puzzle fail-loop analytics story 3,SOD-EP03,"As a player/team, I want puzzle fail-loop analytics to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1093,Puzzle fail-loop analytics story 4,SOD-EP03,"As a player/team, I want puzzle fail-loop analytics to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1094,Puzzle fail-loop analytics story 5,SOD-EP03,"As a player/team, I want puzzle fail-loop analytics to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1095,Puzzle fail-loop analytics story 6,SOD-EP03,"As a player/team, I want puzzle fail-loop analytics to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1096,Puzzle fail-loop analytics story 7,SOD-EP03,"As a player/team, I want puzzle fail-loop analytics to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1097,Puzzle fail-loop analytics story 8,SOD-EP03,"As a player/team, I want puzzle fail-loop analytics to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1098,Puzzle fail-loop analytics story 9,SOD-EP03,"As a player/team, I want puzzle fail-loop analytics to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1099,Puzzle fail-loop analytics story 10,SOD-EP03,"As a player/team, I want puzzle fail-loop analytics to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1100,Encounter director pacing story 1,SOD-EP03,"As a player/team, I want encounter director pacing to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1101,Encounter director pacing story 2,SOD-EP03,"As a player/team, I want encounter director pacing to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1102,Encounter director pacing story 3,SOD-EP03,"As a player/team, I want encounter director pacing to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1103,Encounter director pacing story 4,SOD-EP03,"As a player/team, I want encounter director pacing to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1104,Encounter director pacing story 5,SOD-EP03,"As a player/team, I want encounter director pacing to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1105,Encounter director pacing story 6,SOD-EP03,"As a player/team, I want encounter director pacing to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1106,Encounter director pacing story 7,SOD-EP03,"As a player/team, I want encounter director pacing to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1107,Encounter director pacing story 8,SOD-EP03,"As a player/team, I want encounter director pacing to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1108,Encounter director pacing story 9,SOD-EP03,"As a player/team, I want encounter director pacing to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1109,Encounter director pacing story 10,SOD-EP03,"As a player/team, I want encounter director pacing to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1110,Boss phase framework story 1,SOD-EP03,"As a player/team, I want boss phase framework to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1111,Boss phase framework story 2,SOD-EP03,"As a player/team, I want boss phase framework to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1112,Boss phase framework story 3,SOD-EP03,"As a player/team, I want boss phase framework to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1113,Boss phase framework story 4,SOD-EP03,"As a player/team, I want boss phase framework to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1114,Boss phase framework story 5,SOD-EP03,"As a player/team, I want boss phase framework to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1115,Boss phase framework story 6,SOD-EP03,"As a player/team, I want boss phase framework to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1116,Boss phase framework story 7,SOD-EP03,"As a player/team, I want boss phase framework to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1117,Boss phase framework story 8,SOD-EP03,"As a player/team, I want boss phase framework to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1118,Boss phase framework story 9,SOD-EP03,"As a player/team, I want boss phase framework to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
