Issue Type,Issue Key,Summary,Epic Link,Description,Acceptance Criteria,Priority
Story,SOD-US-2011,Matchmaking robustness story 2,SOD-EP01,"As a player/team, I want matchmaking robustness validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2012,Matchmaking robustness story 3,SOD-EP01,"As a player/team, I want matchmaking robustness validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2013,Matchmaking robustness story 4,SOD-EP01,"As a player/team, I want matchmaking robustness validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2014,Matchmaking robustness story 5,SOD-EP01,"As a player/team, I want matchmaking robustness validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2015,Matchmaking robustness story 6,SOD-EP01,"As a player/team, I want matchmaking robustness validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2016,Matchmaking robustness story 7,SOD-EP01,"As a player/team, I want matchmaking robustness validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2017,Matchmaking robustness story 8,SOD-EP01,"As a player/team, I want matchmaking robustness validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2018,Matchmaking robustness story 9,SOD-EP01,"As a player/team, I want matchmaking robustness validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2019,Matchmaking robustness story 10,SOD-EP01,"As a player/team, I want matchmaking robustness validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2020,Advanced reconnect and migration story 1,SOD-EP01,"As a player/team, I want advanced reconnect and migration validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2021,Advanced reconnect and migration story 2,SOD-EP01,"As a player/team, I want advanced reconnect and migration validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2022,Advanced reconnect and migration story 3,SOD-EP01,"As a player/team, I want advanced reconnect and migration validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2023,Advanced reconnect and migration story 4,SOD-EP01,"As a player/team, I want advanced reconnect and migration validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2024,Advanced reconnect and migration story 5,SOD-EP01,"As a player/team, I want advanced reconnect and migration validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2025,Advanced reconnect and migration story 6,SOD-EP01,"As a player/team, I want advanced reconnect and migration validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2026,Advanced reconnect and migration story 7,SOD-EP01,"As a player/team, I want advanced reconnect and migration validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2027,Advanced reconnect and migration story 8,SOD-EP01,"As a player/team, I want advanced reconnect and migration validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2028,Advanced reconnect and migration story 9,SOD-EP01,"As a player/team, I want advanced reconnect and migration validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2029,Advanced reconnect and migration story 10,SOD-EP01,"As a player/team, I want advanced reconnect and migration validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2030,Social co-op onboarding story 1,SOD-EP01,"As a player/team, I want social co-op onboarding validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2031,Social co-op onboarding story 2,SOD-EP01,"As a player/team, I want social co-op onboarding validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2032,Social co-op onboarding story 3,SOD-EP01,"As a player/team, I want social co-op onboarding validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2033,Social co-op onboarding story 4,SOD-EP01,"As a player/team, I want social co-op onboarding validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2034,Social co-op onboarding story 5,SOD-EP01,"As a player/team, I want social co-op onboarding validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2035,Social co-op onboarding story 6,SOD-EP01,"As a player/team, I want social co-op onboarding validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2036,Social co-op onboarding story 7,SOD-EP01,"As a player/team, I want social co-op onboarding validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2037,Social co-op onboarding story 8,SOD-EP01,"As a player/team, I want social co-op onboarding validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2038,Social co-op onboarding story 9,SOD-EP01,"As a player/team, I want social co-op onboarding validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2039,Social co-op onboarding story 10,SOD-EP01,"As a player/team, I want social co-op onboarding validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2040,Telemetry session insights story 1,SOD-EP01,"As a player/team, I want telemetry session insights validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2041,Telemetry session insights story 2,SOD-EP01,"As a player/team, I want telemetry session insights validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2042,Telemetry session insights story 3,SOD-EP01,"As a player/team, I want telemetry session insights validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2043,Telemetry session insights story 4,SOD-EP01,"As a player/team, I want telemetry session insights validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2044,Telemetry session insights story 5,SOD-EP01,"As a player/team, I want telemetry session insights validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2045,Telemetry session insights story 6,SOD-EP01,"As a player/team, I want telemetry session insights validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2046,Telemetry session insights story 7,SOD-EP01,"As a player/team, I want telemetry session insights validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2047,Telemetry session insights story 8,SOD-EP01,"As a player/team, I want telemetry session insights validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2048,Telemetry session insights story 9,SOD-EP01,"As a player/team, I want telemetry session insights validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2049,Telemetry session insights story 10,SOD-EP01,"As a player/team, I want telemetry session insights validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2050,Advanced light ability chaining story 1,SOD-EP02,"As a player/team, I want advanced light ability chaining validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2051,Advanced light ability chaining story 2,SOD-EP02,"As a player/team, I want advanced light ability chaining validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2052,Advanced light ability chaining story 3,SOD-EP02,"As a player/team, I want advanced light ability chaining validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2053,Advanced light ability chaining story 4,SOD-EP02,"As a player/team, I want advanced light ability chaining validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2054,Advanced light ability chaining story 5,SOD-EP02,"As a player/team, I want advanced light ability chaining validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2055,Advanced light ability chaining story 6,SOD-EP02,"As a player/team, I want advanced light ability chaining validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2056,Advanced light ability chaining story 7,SOD-EP02,"As a player/team, I want advanced light ability chaining validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2057,Advanced light ability chaining story 8,SOD-EP02,"As a player/team, I want advanced light ability chaining validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2058,Advanced light ability chaining story 9,SOD-EP02,"As a player/team, I want advanced light ability chaining validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2059,Advanced light ability chaining story 10,SOD-EP02,"As a player/team, I want advanced light ability chaining validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2060,Advanced shadow ability chaining story 1,SOD-EP02,"As a player/team, I want advanced shadow ability chaining validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2061,Advanced shadow ability chaining story 2,SOD-EP02,"As a player/team, I want advanced shadow ability chaining validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2062,Advanced shadow ability chaining story 3,SOD-EP02,"As a player/team, I want advanced shadow ability chaining validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2063,Advanced shadow ability chaining story 4,SOD-EP02,"As a player/team, I want advanced shadow ability chaining validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2064,Advanced shadow ability chaining story 5,SOD-EP02,"As a player/team, I want advanced shadow ability chaining validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2065,Advanced shadow ability chaining story 6,SOD-EP02,"As a player/team, I want advanced shadow ability chaining validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2066,Advanced shadow ability chaining story 7,SOD-EP02,"As a player/team, I want advanced shadow ability chaining validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2067,Advanced shadow ability chaining story 8,SOD-EP02,"As a player/team, I want advanced shadow ability chaining validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2068,Advanced shadow ability chaining story 9,SOD-EP02,"As a player/team, I want advanced shadow ability chaining validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2069,Advanced shadow ability chaining story 10,SOD-EP02,"As a player/team, I want advanced shadow ability chaining validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2070,Combo accessibility depth story 1,SOD-EP02,"As a player/team, I want combo accessibility depth validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2071,Combo accessibility depth story 2,SOD-EP02,"As a player/team, I want combo accessibility depth validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2072,Combo accessibility depth story 3,SOD-EP02,"As a player/team, I want combo accessibility depth validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2073,Combo accessibility depth story 4,SOD-EP02,"As a player/team, I want combo accessibility depth validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2074,Combo accessibility depth story 5,SOD-EP02,"As a player/team, I want combo accessibility depth validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2075,Combo accessibility depth story 6,SOD-EP02,"As a player/team, I want combo accessibility depth validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2076,Combo accessibility depth story 7,SOD-EP02,"As a player/team, I want combo accessibility depth validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2077,Combo accessibility depth story 8,SOD-EP02,"As a player/team, I want combo accessibility depth validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2078,Combo accessibility depth story 9,SOD-EP02,"As a player/team, I want combo accessibility depth validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2079,Combo accessibility depth story 10,SOD-EP02,"As a player/team, I want combo accessibility depth validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2080,Ability tuning by analytics story 1,SOD-EP02,"As a player/team, I want ability tuning by analytics validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2081,Ability tuning by analytics story 2,SOD-EP02,"As a player/team, I want ability tuning by analytics validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2082,Ability tuning by analytics story 3,SOD-EP02,"As a player/team, I want ability tuning by analytics validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2083,Ability tuning by analytics story 4,SOD-EP02,"As a player/team, I want ability tuning by analytics validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2084,Ability tuning by analytics story 5,SOD-EP02,"As a player/team, I want ability tuning by analytics validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2085,Ability tuning by analytics story 6,SOD-EP02,"As a player/team, I want ability tuning by analytics validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2086,Ability tuning by analytics story 7,SOD-EP02,"As a player/team, I want ability tuning by analytics validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2087,Ability tuning by analytics story 8,SOD-EP02,"As a player/team, I want ability tuning by analytics validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2088,Ability tuning by analytics story 9,SOD-EP02,"As a player/team, I want ability tuning by analytics validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2089,Ability tuning by analytics story 10,SOD-EP02,"As a player/team, I want ability tuning by analytics validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2090,Chapter-specific ability modifiers story 1,SOD-EP02,"As a player/team, I want chapter-specific ability modifiers validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2091,Chapter-specific ability modifiers story 2,SOD-EP02,"As a player/team, I want chapter-specific ability modifiers validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2092,Chapter-specific ability modifiers story 3,SOD-EP02,"As a player/team, I want chapter-specific ability modifiers validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2093,Chapter-specific ability modifiers story 4,SOD-EP02,"As a player/team, I want chapter-specific ability modifiers validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2094,Chapter-specific ability modifiers story 5,SOD-EP02,"As a player/team, I want chapter-specific ability modifiers validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2095,Chapter-specific ability modifiers story 6,SOD-EP02,"As a player/team, I want chapter-specific ability modifiers validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2096,Chapter-specific ability modifiers story 7,SOD-EP02,"As a player/team, I want chapter-specific ability modifiers validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2097,Chapter-specific ability modifiers story 8,SOD-EP02,"As a player/team, I want chapter-specific ability modifiers validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2098,Chapter-specific ability modifiers story 9,SOD-EP02,"As a player/team, I want chapter-specific ability modifiers validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2099,Chapter-specific ability modifiers story 10,SOD-EP02,"As a player/team, I want chapter-specific ability modifiers validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2100,Puzzle procedural variation story 1,SOD-EP03,"As a player/team, I want puzzle procedural variation validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2101,Puzzle procedural variation story 2,SOD-EP03,"As a player/team, I want puzzle procedural variation validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2102,Puzzle procedural variation story 3,SOD-EP03,"As a player/team, I want puzzle procedural variation validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2103,Puzzle procedural variation story 4,SOD-EP03,"As a player/team, I want puzzle procedural variation validated in production scenario 4, so quality remains release-grade.","Given production scenario 4, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2104,Puzzle procedural variation story 5,SOD-EP03,"As a player/team, I want puzzle procedural variation validated in production scenario 5, so quality remains release-grade.","Given production scenario 5, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2105,Puzzle procedural variation story 6,SOD-EP03,"As a player/team, I want puzzle procedural variation validated in production scenario 6, so quality remains release-grade.","Given production scenario 6, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2106,Puzzle procedural variation story 7,SOD-EP03,"As a player/team, I want puzzle procedural variation validated in production scenario 7, so quality remains release-grade.","Given production scenario 7, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2107,Puzzle procedural variation story 8,SOD-EP03,"As a player/team, I want puzzle procedural variation validated in production scenario 8, so quality remains release-grade.","Given production scenario 8, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2108,Puzzle procedural variation story 9,SOD-EP03,"As a player/team, I want puzzle procedural variation validated in production scenario 9, so quality remains release-grade.","Given production scenario 9, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2109,Puzzle procedural variation story 10,SOD-EP03,"As a player/team, I want puzzle procedural variation validated in production scenario 10, so quality remains release-grade.","Given production scenario 10, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Medium
Story,SOD-US-2110,Late-game puzzle complexity story 1,SOD-EP03,"As a player/team, I want late-game puzzle complexity validated in production scenario 1, so quality remains release-grade.","Given production scenario 1, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",Highest
Story,SOD-US-2111,Late-game puzzle complexity story 2,SOD-EP03,"As a player/team, I want late-game puzzle complexity validated in production scenario 2, so quality remains release-grade.","Given production scenario 2, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
Story,SOD-US-2112,Late-game puzzle complexity story 3,SOD-EP03,"As a player/team, I want late-game puzzle complexity validated in production scenario 3, so quality remains release-grade.","Given production scenario 3, when flow executes under normal and stressed conditions, then output meets KPI targets and telemetry confirms stability.",High
